transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,transaction_amount,payment_method,card_number,cvv
T0000001,C00612,P0750,2026-01-23,3,2715.96,8147.88,Cash,675908537789,592
T0000002,C05219,P0005,2025-09-09,5,513.79,2568.95,Debit Card,3587659327080204,848
T0000003,C09035,P0472,2024-10-24,4,2826.78,11307.12,UPI,4624141181787,270
T0000004,C08928,P0624,2026-01-09,2,259.66,519.32,UPI,4899324255842767,801
T0000005,C06531,P0539,2024-08-16,4,1681.97,6727.88,UPI,4126866945545,049
T0000006,C02061,P0618,2025-04-21,2,4015.68,8031.36,Cash,3591936994548471,604
T0000007,C00723,P0045,2026-03-29,5,2202.09,11010.45,Debit Card,4472737941118224,562
T0000008,C08660,P0048,2025-04-14,4,4359.07,17436.28,UPI,676309716535,355
T0000009,C00194,P0549,2024-08-21,1,1841.05,1841.05,Debit Card,30041510959958,199
T0000010,C02224,P0208,2026-08-06,4,2171.63,8686.52,UPI,675957484156,344
T0000011,C04452,P0721,2025-01-15,1,2400.72,2400.72,Credit Card,4717585657979403,011
T0000012,C08916,P0929,2025-12-31,1,3930.26,3930.26,Credit Card,4851738857068362,545
T0000013,C00482,P0477,2025-09-24,5,759.09,3795.45,Debit Card,502015685758,180
T0000014,C00410,P0781,2025-06-26,4,1371.62,5486.48,Debit Card,4921433942025294789,374
T0000015,C09758,P0903,2024-08-15,5,898.35,4491.75,Debit Card,3576046591774667,371
T0000016,C03038,P0162,2025-09-21,3,1090.4,3271.2,UPI,3548198996733726,158
T0000017,C08812,P0902,2025-07-02,3,2406.23,7218.69,UPI,4706725569516322589,209
T0000018,C06926,P0155,2025-01-10,4,4505.23,18020.92,Debit Card,213183221087585,267
T0000019,C01276,P0572,2025-08-18,1,779.38,779.38,Credit Card,3585773948701536,641
T0000020,C09740,P0487,2026-02-05,2,2100.21,4200.42,UPI,4678942826243426,5628
T0000021,C02370,P0950,2025-06-25,1,4215.99,4215.99,Cash,4680874836123668,891
T0000022,C06396,P0540,2024-11-07,4,1963.49,7853.96,UPI,501813556245,433
T0000023,C04437,P0363,2026-07-30,3,3746.49,11239.47,Credit Card,180030616822226,380
T0000024,C09958,P0006,2026-03-07,3,3029.99,9089.97,UPI,3585367686917352,050
T0000025,C05053,P0913,2025-04-19,5,1531.42,7657.1,Credit Card,564945105604,857
